Course #,Sec,Course Title,Credits,Faculty,DAYS,Start Time,End Time,Room,Remarks
COSC490,1,Summative Learning Experience,3,Lara AbouOrm,,,,,
COSC498VII,1,Special Topics in Computer Science: Image Processing,3,Roaa Soloh,M W,12:30:00 PM,1:45:00 PM,I228,
CVLN301,1,Civilization Studies I,3,Abir Oweini,M W,11:00:00 AM,12:15:00 PM,F204,Humanities
ELEC320,1,Electronics,3,Toufic Hijazi,M W,9:30:00 AM,10:45:00 AM,B203,
ELEC320,2,Electronics,3,Toufic Hijazi,M W,2:00:00 PM,3:15:00 PM,B203,
ELEC320,3,Electronics,3,Toufic Hijazi,T R,9:30:00 AM,10:45:00 AM,B203,
ELEC320,4,Electronics,3,Toufic Hijazi,T R,1:30:00 PM,2:45:00 PM,B203,
ELEC320L,1,Electronics Lab,1,Milana Kasab,M,3:30:00 PM,5:00:00 PM,ElectLab,
ELEC320L,2,Electronics Lab,1,Milana Kasab,T,1:25:00 PM,2:55:00 PM,ElectLab,
ELEC320L,3,Electronics Lab,1,Milana Kasab,T,3:00:00 PM,4:40:00 PM,ElectLab,
ELEC320L,4,Electronics Lab,1,Milana Kasab,W,3:30:00 PM,5:00:00 PM,ElectLab,
ELEC320L,5,Electronics Lab,1,Milana Kasab,R,3:00:00 PM,4:40:00 PM,ElectLab,
ELEC451,1,Control Systems,3,Mohammad Taha,M W,11:00:00 AM,12:15:00 PM,H003,
ELEC499,1,Co-op Work Experience,1,Placement Office Coop and,,,,,
ELEC503,1,Artificial Neural Systems,3,Staff Staff,M W,12:30:00 PM,1:45:00 PM,B204,
ELEC534,1,Advanced Power Systems,3,Mohammad Taha,T R,1:30:00 PM,2:45:00 PM,D204,
ELEC536,1,Renewable Energy Systems,3,Staff Staff,M W,2:00:00 PM,3:15:00 PM,D201,
ELEC595A,1,BE Summative Learning Project I,3,Staff Staff,,,,,
ENGL101,1,Freshman English,3,Maysaa Banat,M W,12:30:00 PM,1:45:00 PM,F204,
ENGL101,2,Freshman English,3,Fawzieh Orabi,M W,2:00:00 PM,3:15:00 PM,F102,
ENGL101,3,Freshman English,3,Maysaa Banat,T R,9:30:00 AM,10:45:00 AM,F201,
ENGL210,1,English Composition and Rhetoric,3,Maysaa Banat,M W,8:00:00 AM,9:15:00 AM,F207,
ENGL210,2,English Composition and Rhetoric,3,Grasiella Harb,M W,11:00:00 AM,12:15:00 PM,F203,
ENGL210,3,English Composition and Rhetoric,3,Naziha Shamseddine,M W,2:00:00 PM,3:15:00 PM,F103,
ENGL210,4,English Composition and Rhetoric,3,Grasiella Harb,T R,8:00:00 AM,9:15:00 AM,H004,
ENGL210,5,English Composition and Rhetoric,3,Maysaa Banat,T R,12:00:00 PM,1:15:00 PM,F101,
ENGL217,1,Professional English Communication,3,Najwa Fares,M W,9:30:00 AM,10:45:00 AM,F206,
ENGL217,2,Professional English Communication,3,Najwa Fares,M W,12:30:00 PM,1:45:00 PM,F203,
ENGL217,3,Professional English Communication,3,Grasiella Harb,T R,12:00:00 PM,1:15:00 PM,F103,
ENGR300,1,Engineering Economics and Management,3,Zeinab Srour,T R,12:00:00 PM,1:15:00 PM,H004,
ENGR510,1,Engineering Project Management,3,Rana HajChhade,M W,9:30:00 AM,10:45:00 AM,D201,
ENGR510,2,Engineering Project Management,3,Rana HajChhade,T R,9:30:00 AM,10:45:00 AM,H003,
ENGR600,1,Engineering Research Methods,3,Staff Staff,M W,2:00:00 PM,3:15:00 PM,D203,
ENVS201,1,Introduction to Environmental Science,3,Roba AlHajj,M W,3:30:00 PM,4:45:00 PM,H204,Science Elective Not open for Engineering Students
FADR200,1,Drawing I,3,Nadine Zahreddine,M W,9:00:00 AM,10:50:00 AM,I217,
FADR200,2,Drawing I,3,Nadine Zahreddine,M W,2:00:00 PM,3:50:00 PM,I217,
FADR215,1,History of Art,3,Lina Hassoun,M W,11:00:00 AM,12:15:00 PM,I215,Fine Arts
FADR215,2,History of Art,3,Lina Hassoun,M W,12:30:00 PM,1:45:00 PM,I215,Fine Arts
FADR220,1,Fundamentals of 2D Design,3,Lana Charara,M W,9:00:00 AM,10:50:00 AM,D202,
FADR220,2,Fundamentals of 2D Design,3,Lana Charara,M W,2:00:00 PM,3:50:00 PM,D202,
GRDS220,1,Introduction to Digital Media,3,Rihab Zebian,T R,9:30:00 AM,10:45:00 AM,ILABVI,
GRDS220,2,Introduction to Digital Media,3,Rihab Zebian,T R,12:00:00 PM,1:15:00 PM,ILABVI,
GRDS230,1,Photography I,3,Saber Abdallah,M W,8:00:00 AM,9:15:00 AM,I215,
GRDS300,1,Illustration,3,Nadine Zahreddine,T R,12:00:00 PM,1:15:00 PM,I217,
GRDS300,2,Illustration,3,Nadine Zahreddine,T R,1:30:00 PM,2:45:00 PM,I217,
GRDS305,1,Type II,3,Soubhi Farroukh,T R,8:00:00 AM,9:15:00 AM,I216,
GRDS305,2,Type II,3,Soubhi Farroukh,T R,9:30:00 AM,10:45:00 AM,I216,
GRDS310,1,Design I,3,Staff Staff,M W,9:00:00 AM,10:50:00 AM,ILABVI,
GRDS310,2,Design I,3,Staff Staff,M W,2:00:00 PM,3:50:00 PM,I216,
GRDS385,1,VR Illustration and Sculpting,3,Mohamad Darwish,F,9:00:00 AM,11:30:00 AM,C Lab IV,
GRDS399,1,Co-op Training Experience,1,Placement Office Coop and,,,,,
GRDS409,1,Design Writing Research,3,Noura Sammoura,T R,8:00:00 AM,9:15:00 AM,I217,
GRDS409,2,Design Writing Research,3,Noura Sammoura,T R,9:30:00 AM,10:45:00 AM,I217,
GRDS411,1,Design III,3,Serene Srouji,M W,9:00:00 AM,10:50:00 AM,I216,
GRDS411,2,Design III,3,Serene Srouji,M W,12:00:00 PM,1:50:00 PM,I216,
GRDS424,1,Web and Interactive Design,3,Myriam Chamoun,M W,2:00:00 PM,3:15:00 PM,ILABVI,
GRDS424,2,Web and Interactive Design,3,Myriam Chamoun,M W,3:30:00 PM,4:45:00 PM,ILABVI,
GRDS440,1,Design and Social Impact,3,Noura Sammoura,M W,12:30:00 PM,1:45:00 PM,ILABVI,
GRDS440,2,Design and Social Impact,3,Noura Sammoura,M W,2:00:00 PM,3:15:00 PM,H005,
GRDS498II,1,Special Topics in Graphic Design: Art Direction,3,Mohamad Darwish,F,12:00:00 PM,2:30:00 PM,ILABVI,
IELP085,1,Elementary English,6,Fayza Hazimeh,M T W R,8:00:00 AM,1:50:00 PM,F101,
IELP085,2,Elementary English,6,Rola AlDanab,M T W R,8:00:00 AM,1:50:00 PM,F102,
